steam_id64,name,reason
76561198310925535,Clx,match invader
76561199116364920,Clx,match invader
76561198113294936,Clx,match invader
76561199165871973,Clx,match invader
76561199164609965,Clx,match invader
76561199164115386,Clx,match invader
76561199146255686,Clx,match invader
76561199166660740,Clx,match invader
76561199135772351,Clx,match invader
76561198156399565,Clx,match invader
76561198280266851,Clx leaker Bread,helping Clx
76561197964387679,0x0258deaD,DDoSer
76561199062609974,Cheeto,match invader / fake racist log spammer
76561198238170280,Cheeto,match invader / fake racist log spammer
76561199208354375,Cheeto,match invader / fake racist log spammer
76561199199088995,Cheeto,match invader / fake racist log spammer
76561198091464403,Cheeto,match invader / fake racist log spammer
76561199132066910,Cheeto,match invader / fake racist log spammer
76561197962267804,Cheeto,match invader / fake racist log spammer
76561199200781287,Cheeto,match invader / fake racist log spammer
76561198347491669,Cheeto,match invader / fake racist log spammer
76561199162197644,Cheeto,match invader / fake racist log spammer
76561199074642692,Cheeto,match invader / fake racist log spammer
76561199275915828,Cheeto,match invader / fake racist log spammer
76561199182194444,Cheeto,match invader / fake racist log spammer
76561199276477318,Cheeto,match invader / fake racist log spammer
76561199251574288,semiperf,fake racist log spammer / cheeto crew
76561198091464403,semiperf,fake racist log spammer / cheeto crew
76561198167446102,sandstoner,fake racist log spammer / cheeto crew
76561198081019811,sandstoner,fake racist log spammer / cheeto crew
76561199129719751,sandstoner,fake racist log spammer / cheeto crew
76561199178857855,sandstoner,fake racist log spammer / cheeto crew
76561199133700932,sandstoner,fake racist log spammer / cheeto crew
76561198035013366,Nino,cheeto crew
76561197964664937,Nino,cheeto crew
76561198891266744,Nino,cheeto crew
76561199132212526,Nino,cheeto crew
76561199170836678,Nino,cheeto crew
76561199168541353,Nino,cheeto crew
76561198114767457,Nino,cheeto crew
