"ASN","Entity"
"11282","SERVERYOU - SERVERYOU INC"
"11383","TierPoint, LLC"
"11464","TierPoint, LLC"
"11588","HIGHWINDS - Highwinds Network Group, Inc., US"
"11754","US | ORANGE COUNTY NETWORKS, LLC"
"11831","ESECUREDATA - eSecureData, CA"
"11849","US | ALTEC-IT - Altec IT, US"
"11878","TZULO - tzulo, inc., US"
"11931","US | Zenith Networking"
"11989","WEBINT - HostPapa"
"12364","GR | University of Macedonia, Economic and Social Sciences"
"12506","NL | Inspiring Networks BV"
"12586","ASGHOSTNET, DE"
"12616","Citytelecom LLC (HOSTING-MSK)"
"12617","Solido Hosting A/S"
"12679","LT | Sokolov Dmitry Nikolaevich"
"12720","BG | BULGARIAONLINE , BG"
"12722","RECONN"
"12876","AS12876, FR"
"12989","HWNG, NL"
"13209","Atom Hosting SRL"
"13213","UK2NET-AS, GB"
"13301","WIIT AG (UNITEDCOLO-AS)"
"13332","HYPEENT-SJ - Hype Enterprises, US"
"13335","Cloudflare"
"13389","US | AZUKI"
"13537","US | MEGACOLO - Mega Colocation"
"13557","US | NETIN - NetIn.com, Inc. Dallas Texas,US"
"13647","Tranquil Hosting, Inc."
"13737","INCX Global (Windscribe)"
"13739","DATACENTER-IP - Datacenter IP, LLC, US"
"13798","US | BRIGHT - Brightfinity, LLC,US"
"13909","Techie Hosting, Inc."
"13916","PROOFPOINT-UT7 - Proofpoint, Inc., US"
"13926","RBLHST-NY - Strong Technology, LLC., US"
"13955","Echostar Broadcasting Corporation"
"14004","Nocix, LLC (1530SWIFT)"
"14029","ZW | DC Econet"
"14061","DIGITALOCEAN-ASN - Digital Ocean, Inc., US"
"14113","Ntirety, Inc. (HOSTINGCOM)"
"14120","IT Hosting Services, LLC."
"14127","ILAND - Iland Internet Solutions Corporation, US"
"14141","TOTAL-SERVER-SOLUTIONS - Total Server Solutions L.L.C."
"14160","Premium Hosting, Inc."
"14179","AU | Interactive Gaming and Wagering N.V."
"14202","US | [Name not set and lost]"
"14230","INVOLTA - Involta, US"
"14244","NSI Hosting"
"14280","Ntirety, Inc. (NETNATION)"
"14384","HOST DESIGNS, LLC"
"14415","Host Collective, Inc."
"14439","SWIFTNODE-LLC - Swiftnode LLC"
"14442","Media-Hosts Inc."
"14563","Internap Holding LLC (DATAGRAM-PACIFIC)"
"14567","Springs Hosting"
"14572","US | N2V - N2V, INC.,US"
"14576","Hosting Solution Ltd."
"14586","Nuclearfallout Enterprises, Inc."
"14618","AMAZON-AES - Amazon.com, Inc., US"
"14636","Internap Holding LLC (INTERNAP-BLK4)"
"14670","SOLAR-VPS - OC1-SolarVPS"
"14708","WebHost Chile S.A."
"14770","US | NOBLE AMERICAS CORP."
"14986","Ultra Hosting"
"14987","Rethem Hosting LLC"
"14992","CrystalTech Web Hosting Inc."
"15003","NOBIS-TECH - Nobis Technology Group, LLC, US"
"15083","INFOLINK-MIA-US - Infolink Global Corporation, US"
"15169","GOOGLE - Google Inc., US"
"15189","HostVentures.com, Inc."
"15216","Ntirety, Inc. (HOSTWAY)"
"15244","ADD2NET-INC - HostPapa"
"15395","RACKSPACE-LON, GB"
